Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,5.790000,5.890000,4.670000,5.600000,5.600000,3980200
2021-12-07,5.650000,5.800000,5.510000,5.590000,5.590000,798600
2021-12-08,5.570000,5.570000,4.960000,5.030000,5.030000,947100
2021-12-09,4.760000,5.800000,4.760000,5.690000,5.690000,1453100
2021-12-10,5.680000,5.680000,5.250000,5.530000,5.530000,230400
2021-12-13,5.510000,5.750000,5.260000,5.410000,5.410000,451000
2021-12-14,5.220000,5.480000,5.050000,5.140000,5.140000,657600
2021-12-15,5.300000,5.300000,5.000000,5.170000,5.170000,392800
2021-12-16,5.100000,5.420000,5.030000,5.200000,5.200000,255900
2021-12-17,5.330000,5.650000,5.100000,5.550000,5.550000,558400
2021-12-20,5.700000,5.780000,5.550000,5.700000,5.700000,805800
2021-12-21,5.840000,6.500000,5.760000,6.300000,6.300000,1087400
2021-12-22,6.470000,6.860000,6.380000,6.580000,6.580000,762200
2021-12-23,6.600000,6.790000,6.500000,6.590000,6.590000,356900
2021-12-27,6.630000,6.940000,6.510000,6.570000,6.570000,553000
2021-12-28,6.650000,6.800000,6.110000,6.160000,6.160000,595500
2021-12-29,6.200000,6.310000,5.950000,6.130000,6.130000,409100
2021-12-30,6.250000,6.410000,6.010000,6.210000,6.210000,208600
2021-12-31,6.250000,6.590000,6.210000,6.450000,6.450000,349900
2022-01-03,6.610000,6.800000,6.600000,6.740000,6.740000,347800
2022-01-04,6.760000,6.950000,6.640000,6.730000,6.730000,548300
2022-01-05,6.810000,6.890000,6.010000,6.280000,6.280000,603200
2022-01-06,6.390000,6.400000,5.760000,6.010000,6.010000,587900
2022-01-07,6.150000,6.430000,5.960000,6.050000,6.050000,473800
2022-01-10,6.640000,6.890000,6.300000,6.630000,6.630000,1969000
2022-01-11,6.850000,6.900000,6.500000,6.600000,6.600000,1099400
2022-01-12,6.580000,6.590000,6.000000,6.160000,6.160000,1665400
2022-01-13,6.400000,6.400000,6.100000,6.230000,6.230000,374000
2022-01-14,6.270000,6.350000,6.110000,6.280000,6.280000,321900
2022-01-18,6.350000,6.400000,5.660000,5.840000,5.840000,991800
2022-01-19,5.260000,5.360000,4.250000,5.010000,5.010000,2746300
2022-01-20,5.010000,5.200000,4.620000,4.850000,4.850000,881300
2022-01-21,4.800000,4.910000,4.220000,4.410000,4.410000,1684800
2022-01-24,4.080000,4.100000,3.510000,3.660000,3.660000,2884000
2022-01-25,3.600000,3.750000,3.250000,3.370000,3.370000,1948200
2022-01-26,3.960000,5.180000,3.860000,4.760000,4.760000,2724200
2022-01-27,4.820000,5.400000,4.550000,4.980000,4.980000,1196000
2022-01-28,5.020000,5.150000,4.830000,5.060000,5.060000,510300
2022-01-31,5.070000,5.180000,4.910000,5.090000,5.090000,342000
2022-02-01,5.200000,5.390000,5.060000,5.350000,5.350000,365200
2022-02-02,5.480000,5.480000,5.230000,5.350000,5.350000,280100
2022-02-03,5.240000,5.300000,4.950000,5.040000,5.040000,478500
2022-02-04,4.990000,5.150000,4.900000,5.100000,5.100000,261600
2022-02-07,5.040000,5.180000,4.920000,4.950000,4.950000,259300
2022-02-08,4.930000,5.010000,4.160000,4.480000,4.480000,1211100
2022-02-09,4.490000,4.820000,4.410000,4.440000,4.440000,391100
2022-02-10,4.490000,4.650000,4.270000,4.530000,4.530000,640700
